fid;ID DO PROJETO;LOCALIZAÇÃO;TAREFA;endereco_completo;DESCRIÇÃO
1207720;1;POINT (-45.8122952338491 -12.0793210640899);Instalação: CEA-CEO-10;R. Bom Jesus da Lapa, 640 - Lot. Mimoso Dýoeste I, Luís Eduardo Magalhães - BA, 47850-000, BR;R. Bom Jesus da Lapa, 640 - Lot. Mimoso Dýoeste I, Luís Eduardo Magalhães - BA, 47850-000, BR</P>POINT (-45.8122952338491 -12.0793210640899)
1211924;1;POINT (-45.8188399277541 -12.0942345164241);Instalação: CEA-CEO-12;Rod. BR 242, Sn Km 1 Sede, Luís Eduardo Magalhães - BA, 47850-000, Brasil;Rod. BR 242, Sn Km 1 Sede, Luís Eduardo Magalhães - BA, 47850-000, Brasil</P>POINT (-45.8188399277541 -12.0942345164241)
1191533;1;POINT (-45.7839464304226 -12.0960527716223);Instalação: CEA-CEO_09;R. Vinte Um Abril, 350 - Jardim Paraiso I, Luís Eduardo Magalhães - BA, 47850-000, BR;R. Vinte Um Abril, 350 - Jardim Paraiso I, Luís Eduardo Magalhães - BA, 47850-000, BR</P>POINT (-45.7839464304226 -12.0960527716223)
1191534;1;POINT (-45.7993934 -12.09801763);Instalação: CEA-CEO_02;Av. Ayrton Sena, 360 - Lot. Santa Cruz, Luís Eduardo Magalhães - BA, 47850-000, Brasil;Av. Ayrton Sena, 360 - Lot. Santa Cruz, Luís Eduardo Magalhães - BA, 47850-000, Brasil</P>POINT (-45.7993934 -12.09801763)
1191535;1;POINT (-45.8218575265839 -12.0996890983592);Instalação: CEA-CEO_03;R. C3, Luís Eduardo Magalhães - BA, 47850-000, Brasil;R. C3, Luís Eduardo Magalhães - BA, 47850-000, Brasil</P>POINT (-45.8218575265839 -12.0996890983592)
1191537;1;POINT (-45.7915609690625 -12.0828344056725);Instalação: CEA-CEO_05;Av. Juscelino Kubstcheck, 1780 - Centro, Luís Eduardo Magalhães - BA, 47850-000, BR;Av. Juscelino Kubstcheck, 1780 - Centro, Luís Eduardo Magalhães - BA, 47850-000, BR</P>POINT (-45.7915609690625 -12.0828344056725)
1191538;1;POINT (-45.8034112884017 -12.0873302186762);Instalação: CEA-CEO_06;R. Rui Barbosa, 616 - Lot. Mimoso Doeste I, Luís Eduardo Magalhães - BA, 47850-000, BR;R. Rui Barbosa, 616 - Lot. Mimoso Doeste I, Luís Eduardo Magalhães - BA, 47850-000, BR</P>POINT (-45.8034112884017 -12.0873302186762)
1191539;1;POINT (-45.7756185099881 -12.0806922805409);Instalação: CEA-CEO_07;R. do Alecrim, 361 - Jardim das Acacias, Luís Eduardo Magalhães - BA, 47850-000, BR;R. do Alecrim, 361 - Jardim das Acacias, Luís Eduardo Magalhães - BA, 47850-000, BR</P>POINT (-45.7756185099881 -12.0806922805409)
1191540;1;POINT (-45.76394411077 -12.0786424973422);Instalação: CEA-CEO_08;R. Jose De Alencar, 3931 - Jardim das Acacias, Luís Eduardo Magalhães - BA, 47850-000, BR;R. Jose De Alencar, 3931 - Jardim das Acacias, Luís Eduardo Magalhães - BA, 47850-000, BR</P>POINT (-45.76394411077 -12.0786424973422)
1191580;1;POINT (-45.7945283534818 -12.0695145972329);Instalação: CEA-CEO_04;Av. 4a Ltm Cidade Universitaria, 240 - Jardim Universitario, Luís Eduardo Magalhães - BA, 47850-000, BR;Av. 4a Ltm Cidade Universitaria, 240 - Jardim Universitario, Luís Eduardo Magalhães - BA, 47850-000, BR</P>POINT (-45.7945283534818 -12.0695145972329)
1209596;1;POINT (-45.8029599547777 -12.0902682641845);Instalação: CEA-CEO-01;Av. Brasília, 151 - Lot. Mimoso Doeste I, Luís Eduardo Magalhães - BA, 47850-000, BR;Av. Brasília, 151 - Lot. Mimoso Doeste I, Luís Eduardo Magalhães - BA, 47850-000, BR</P>POINT (-45.8029599547777 -12.0902682641845)
